"","x"
"1",0
"2",0.0501391565514155
"3",0.0331919949474582
"4",0.0270342635600973
"5",0.0350739024700593
"6",0.0381018522645185
"7",0.0312929193073479
"8",0.035525542283505
"9",0.0330472612349414
"10",0.0324259761910084
"11",0.0294981572149337
"12",0.0316179424282729
"13",0.0291892928920123
"14",0.0261416295468347
"15",0.0269745749219847
"16",0.0268835139686062
"17",0.0270584259494702
"18",0.0262096410767054
"19",0.0273757074416883
"20",0.0271022717161694
"21",0.0267404998032723
"22",0.0269598630140852
"23",0.0253298014147081
"24",0.0253334884487323
"25",0.025470859768997
"26",0.022426283511773
"27",0.0232826451928974
"28",0.0252354123611738
"29",0.0247789634818959
"30",0.0244795741912311
"31",0.0239815780420395
"32",0.0232570842891985
"33",0.0220930875744078
"34",0.023199362890532
"35",0.0234556426147924
"36",0.0231945650058732
"37",0.0228564713142848
"38",0.0222697875793636
"39",0.0219268339823395
"40",0.0217545879128973
