"","x"
"1",0
"2",0.0501391565514155
"3",0.0331919949474582
"4",0.0404656717766429
"5",0.0349659703496018
"6",0.0295649682221524
"7",0.0284310147977943
"8",0.0280312348844352
"9",0.0261109879296958
"10",0.0300388293303135
"11",0.0310344555348849
"12",0.0275624304804635
"13",0.0285621022986078
"14",0.0285567412723102
"15",0.0300201282721854
"16",0.0237424524377388
"17",0.0293948657405186
"18",0.0283231829057409
"19",0.0239495781459537
"20",0.0242894862429149
"21",0.0222727589036692
"22",0.0226930883509365
"23",0.0237558658585023
"24",0.0203426598411224
"25",0.0244062700085691
"26",0.0245279200162466
"27",0.0242442816960605
"28",0.0241391447426791
"29",0.0222981025897132
"30",0.0237791418960331
"31",0.0235669964320284
"32",0.0214066793373358
"33",0.0231267998952318
"34",0.0221027234971294
"35",0.0218904372777498
"36",0.0219222638388059
"37",0.021798635268598
"38",0.0219904201784684
"39",0.0238599681605227
"40",0.0231390033486571
