"","x"
"1",0
"2",0.0501391565514155
"3",0.0331919949474582
"4",0.0270342635600973
"5",0.0228939843737689
"6",0.0243944909848915
"7",0.0288510156200621
"8",0.032696894050477
"9",0.0323283588967344
"10",0.0338908307602745
"11",0.0341038461559845
"12",0.0316021055667883
"13",0.0296542935829967
"14",0.0294396855116704
"15",0.0282593148528868
"16",0.0267239390754202
"17",0.0264428887737062
"18",0.0275464505210122
"19",0.0274520196117243
"20",0.0263006935262312
"21",0.0258915504646712
"22",0.025727257576317
"23",0.0255857281846805
"24",0.0252098108157292
"25",0.0243612528585529
"26",0.02419162767839
"27",0.0245649085191245
"28",0.024118944669261
"29",0.0241567004008961
"30",0.0252068277949477
"31",0.0259675240322717
"32",0.0250750000848955
"33",0.0235862008201449
"34",0.0235834186209757
"35",0.024478145102244
"36",0.0241274217412319
"37",0.0240517934122498
"38",0.0247993915348901
"39",0.024730522248031
"40",0.0245587059967107
